in:X Size,in:Y Size,in:U Divisions,in:V Divisions,out:displacement,out:Mass,img,threeD
6,10,4,3,0.493209,3532.32824,XSize6_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize10_UDivisions4_VDivisions3.json
7,10,4,3,0.551533,3673.564926,XSize7_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize10_UDivisions4_VDivisions3.json
8,10,4,3,0.629418,3819.626373,XSize8_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize10_UDivisions4_VDivisions3.json
9,10,4,3,0.725399,3970.162725,XSize9_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize10_UDivisions4_VDivisions3.json
10,10,4,3,0.841846,4124.82581,XSize10_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize10_UDivisions4_VDivisions3.json
11,10,4,3,0.981074,4283.276874,XSize11_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize10_UDivisions4_VDivisions3.json
12,10,4,3,1.145382,4445.192235,XSize12_YSize10_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize10_UDivisions4_VDivisions3.json
6,11,4,3,0.608217,3766.119697,XSize6_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize11_UDivisions4_VDivisions3.json
7,11,4,3,0.664847,3905.073129,XSize7_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize11_UDivisions4_VDivisions3.json
8,11,4,3,0.743324,4048.673018,XSize8_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize11_UDivisions4_VDivisions3.json
9,11,4,3,0.841394,4196.618647,XSize9_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize11_UDivisions4_VDivisions3.json
10,11,4,3,0.959904,4348.606495,XSize10_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize11_UDivisions4_VDivisions3.json
11,11,4,3,1.101185,4504.336988,XSize11_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize11_UDivisions4_VDivisions3.json
12,11,4,3,1.267538,4663.519754,XSize12_YSize11_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize11_UDivisions4_VDivisions3.json
6,12,4,3,0.74437,4003.067032,XSize6_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize12_UDivisions4_VDivisions3.json
7,12,4,3,0.802967,4139.936576,XSize7_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize12_UDivisions4_VDivisions3.json
8,12,4,3,0.877492,4281.272666,XSize8_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize12_UDivisions4_VDivisions3.json
9,12,4,3,0.977846,4426.816664,XSize9_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize12_UDivisions4_VDivisions3.json
10,12,4,3,1.09861,4576.304292,XSize10_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize12_UDivisions4_VDivisions3.json
11,12,4,3,1.242134,4729.47139,XSize11_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize12_UDivisions4_VDivisions3.json
12,12,4,3,1.410727,4886.058628,XSize12_YSize12_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize12_UDivisions4_VDivisions3.json
6,6,5,3,0.209519,3077.228275,XSize6_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize6_UDivisions5_VDivisions3.json
